latitude,longitude,time,date,temperature,windspeed,winddirection
33.0,65.0,2025-01-26T20:45,2025-01-26T20:45,-0.6,5.6,50
41.0,20.0,2025-01-26T20:45,2025-01-26T20:45,8.6,1.9,68
28.0,3.0,2025-01-26T20:45,2025-01-26T20:45,16.9,20.8,53
-14.3333,-170.0,2025-01-26T20:45,2025-01-26T20:45,27.5,8.7,83
42.5,1.6,2025-01-26T20:45,2025-01-26T20:45,-2.4,19.9,238
-12.5,18.5,2025-01-26T20:45,2025-01-26T20:45,20.6,3.4,288
18.25,-63.1667,2025-01-26T20:45,2025-01-26T20:45,26.2,33.8,78
-90.0,0.0,2025-01-26T20:45,2025-01-26T20:45,-30.6,15.9,95
17.05,-61.8,2025-01-26T20:45,2025-01-26T20:45,26.4,26.7,74
-34.0,-64.0,2025-01-26T20:45,2025-01-26T20:45,31.6,24.3,24
40.0,45.0,2025-01-26T20:45,2025-01-26T20:45,-6.8,13.8,49
12.5,-69.9667,2025-01-26T20:45,2025-01-26T20:45,27.4,25.9,76
-27.0,133.0,2025-01-26T20:45,2025-01-26T20:45,30.5,10.0,38
47.3333,13.3333,2025-01-26T20:45,2025-01-26T20:45,0.6,5.4,228
40.5,47.5,2025-01-26T20:45,2025-01-26T20:45,5.8,1.8,53
24.25,-76.0,2025-01-26T20:45,2025-01-26T20:45,22.5,35.4,44
26.0,50.55,2025-01-26T20:45,2025-01-26T20:45,17.6,13.5,335
24.0,90.0,2025-01-26T20:45,2025-01-26T20:45,13.6,3.7,299
13.1667,-59.5333,2025-01-26T20:45,2025-01-26T20:45,26.0,22.4,86
53.0,28.0,2025-01-26T20:45,2025-01-26T20:45,5.1,14.0,181
50.8333,4.0,2025-01-26T20:45,2025-01-26T20:45,7.0,24.5,190
17.25,-88.75,2025-01-26T20:45,2025-01-26T20:45,26.0,5.5,79
9.5,2.25,2025-01-26T20:45,2025-01-26T20:45,25.4,4.7,9
32.3333,-64.75,2025-01-26T20:45,2025-01-26T20:45,16.5,9.3,36
27.5,90.5,2025-01-26T20:45,2025-01-26T20:45,7.2,4.9,343
-17.0,-65.0,2025-01-26T20:45,2025-01-26T20:45,20.0,10.0,319
44.0,18.0,2025-01-26T20:45,2025-01-26T20:45,2.5,4.3,40
-22.0,24.0,2025-01-26T20:45,2025-01-26T20:45,25.9,12.2,43
-54.4333,3.4,2025-01-26T20:45,2025-01-26T20:45,0.2,33.6,287
-10.0,-55.0,2025-01-26T20:45,2025-01-26T20:45,30.0,4.7,67
-6.0,71.5,2025-01-26T20:45,2025-01-26T20:45,27.1,32.8,271
4.5,114.6667,2025-01-26T20:45,2025-01-26T20:45,24.0,3.6,174
43.0,25.0,2025-01-26T20:45,2025-01-26T20:45,4.9,3.7,281
13.0,-2.0,2025-01-26T20:45,2025-01-26T20:45,27.0,6.8,58
-3.5,30.0,2025-01-26T20:45,2025-01-26T20:45,17.8,3.3,264
13.0,105.0,2025-01-26T20:45,2025-01-26T20:45,22.0,8.7,48
6.0,12.0,2025-01-26T20:45,2025-01-26T20:45,23.9,2.3,51
60.0,-95.0,2025-01-26T20:45,2025-01-26T20:45,-16.5,45.9,322
16.0,-24.0,2025-01-26T20:45,2025-01-26T20:45,21.6,39.2,38
19.5,-80.5,2025-01-26T20:45,2025-01-26T20:45,26.0,39.2,54
7.0,21.0,2025-01-26T20:45,2025-01-26T20:45,23.8,5.6,15
15.0,19.0,2025-01-26T20:45,2025-01-26T20:45,23.0,17.2,26
-30.0,-71.0,2025-01-26T20:45,2025-01-26T20:45,23.0,10.4,250
35.0,105.0,2025-01-26T20:45,2025-01-26T20:45,-10.8,3.1,234
-10.5,105.6667,2025-01-26T20:45,2025-01-26T20:45,25.8,12.0,226
